Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","2.2u","C_0402_1005Metric",137.900000,-88.400000,-90.000000,top
"C102","10u","C_Elec_4x5.4",140.500000,-83.500000,0.000000,top
"C103","0.1u","C_0402_1005Metric",137.100000,-93.500000,180.000000,top
"C104","2.2u","C_0402_1005Metric",136.800000,-88.400000,-90.000000,top
"C105","10u","C_Elec_4x5.4",140.500000,-96.500000,0.000000,top
"C106","0.1u","C_0402_1005Metric",135.100000,-94.600000,0.000000,top
"C107","0.1u","C_0402_1005Metric",135.100000,-93.500000,180.000000,top
"C108","0.1u","C_0402_1005Metric",148.200000,-87.300000,180.000000,top
"C109","10u","C_Elec_4x5.4",148.000000,-96.500000,0.000000,top
"C110","10u","C_Elec_4x5.4",148.000000,-83.500000,0.000000,top
"C111","2.2n","C_0402_1005Metric",135.300000,-88.000000,0.000000,top
"C112","2.2n","C_0402_1005Metric",135.300000,-92.100000,180.000000,top
"J101","Conn_01x07_Female","PinHeader_1x07_P2.54mm_Vertical",157.500000,-82.375000,0.000000,top
"J102","AudioJack3","PJ-320B-3A",125.650000,-90.000000,0.000000,top
"R101","470","R_0402_1005Metric",135.300000,-89.000000,0.000000,top
"R102","470","R_0402_1005Metric",135.300000,-91.000000,0.000000,top
"U101","pcm5102a","PCM5102A",142.750000,-90.000000,-90.000000,top
