Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C301","1u","C_0603_1608Metric",146.600000,-92.400000,180.000000,top
"C302","0.1u","C_0603_1608Metric",155.950000,-97.250000,90.000000,top
"C303","0.1u","C_0603_1608Metric",157.550000,-97.250000,90.000000,top
"C304","0.1u","C_0603_1608Metric",146.500000,-97.300000,-90.000000,top
"C305","0.1u","C_0603_1608Metric",156.750000,-92.800000,180.000000,top
"C306","0.1u","C_0603_1608Metric",148.200000,-97.300000,90.000000,top
"C307","1u","C_0603_1608Metric",146.625000,-94.100000,180.000000,top
"J101","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Vertical",177.975000,-93.800000,180.000000,top
"J102","SPK L","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",169.600000,-86.450000,180.000000,top
"J103","SPK R","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",162.000000,-86.500000,180.000000,top
"J104","AudioJack3","PJ-320B-3A",151.700000,-80.100000,180.000000,top
"J105","SD","PinHeader_1x03_P2.54mm_Vertical",169.450000,-91.575000,0.000000,top
"J106","G0","PinHeader_1x03_P2.54mm_Vertical",164.800000,-91.575000,0.000000,top
"J107","G1","PinHeader_1x03_P2.54mm_Vertical",160.200000,-91.600000,0.000000,top
"U301","TPA2012D2","TPA2012D2",152.100000,-95.700000,180.000000,top
