Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4.7uF","C_0603_1608Metric",149.000000,-72.500000,90.000000,top
"C2","4.7uF","C_0603_1608Metric",156.200000,-72.500000,90.000000,top
"C3","4.7uF","C_0603_1608Metric",150.000000,-82.000000,0.000000,top
"C4","4.7uF","C_0603_1608Metric",150.000000,-83.600000,0.000000,top
"C5","4.7uF","C_0603_1608Metric",154.600000,-72.500000,90.000000,top
"C6","4.7uF","C_0603_1608Metric",144.600000,-70.100000,180.000000,top
"C8","1uF","C_0603_1608Metric",144.600000,-79.700000,180.000000,top
"C10","1uF","C_0603_1608Metric",144.600000,-74.900000,180.000000,top
"C11","1uF","C_0603_1608Metric",144.600000,-78.100000,0.000000,top
"C12","4.7uF","C_0603_1608Metric",155.400000,-79.300000,180.000000,top
"C13","4.7uF","C_0603_1608Metric",155.400000,-77.700000,0.000000,top
"C15","1uF","C_0603_1608Metric",144.600000,-71.700000,180.000000,top
"C16","1uF","C_0603_1608Metric",144.600000,-73.300000,180.000000,top
"C19","1uF","C_0603_1608Metric",144.600000,-76.500000,0.000000,top
"J1","Conn_01x12","PinSocket_1x12_P2.54mm_Vertical",132.220000,-67.996000,0.000000,top
"J2","Conn_01x12","PinSocket_1x12_P2.54mm_Vertical",167.780000,-67.996000,0.000000,top
"J101","AudioJack3","PJ-320B-3A",144.000000,-99.900000,0.000000,top
"J102","AudioJack3","PJ-320B-3A",156.000000,-99.900000,0.000000,top
"U1","WM8758B","WM8758B",150.000000,-77.300000,0.000000,top
