Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4.7uF","C_0603_1608Metric",152.019000,-99.441000,90.000000,top
"C2","4.7uF","C_0603_1608Metric",157.099000,-99.441000,90.000000,top
"C3","4.7uF","C_0603_1608Metric",154.419000,-110.871000,0.000000,top
"C4","4.7uF","C_0603_1608Metric",154.419000,-112.776000,0.000000,top
"C5","4.7uF","C_0603_1608Metric",155.194000,-99.441000,90.000000,top
"C6","4.7uF","C_0603_1608Metric",150.114000,-98.171000,90.000000,top
"C8","1uF","C_0603_1608Metric",147.434000,-105.918000,180.000000,top
"C10","1uF","C_0603_1608Metric",144.640000,-99.695000,180.000000,top
"C11","1uF","C_0603_1608Metric",144.780000,-103.505000,0.000000,top
"C12","4.7uF","C_0603_1608Metric",160.134000,-107.061000,180.000000,top
"C13","4.7uF","C_0603_1608Metric",160.134000,-105.156000,0.000000,top
"C15","1uF","C_0603_1608Metric",144.640000,-92.710000,180.000000,top
"C16","1uF","C_0603_1608Metric",144.640000,-95.250000,180.000000,top
"C19","1uF","C_0603_1608Metric",144.640000,-101.600000,0.000000,top
"U1","WM8758B","WM8758B",153.438999,-105.156001,0.000000,top
