Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C201","0.1u","C_0402_1005Metric",149.800000,-77.500000,90.000000,top
"C202","0.1u","C_0402_1005Metric",147.800000,-77.500000,90.000000,top
"C203","4.7u","C_0402_1005Metric",150.800000,-77.500000,-90.000000,top
"C204","2.2u","C_0402_1005Metric",152.350000,-76.200000,0.000000,top
"C205","4.7u","C_0402_1005Metric",155.200000,-77.000000,180.000000,top
"C206","4.7u","C_0402_1005Metric",155.200000,-76.000000,180.000000,top
"C207","0.1u","C_0402_1005Metric",155.200000,-75.000000,0.000000,top
"C208","0.1u","C_0402_1005Metric",153.600000,-72.000000,0.000000,top
"C209","1u","C_0402_1005Metric",146.080000,-72.200000,0.000000,top
"C210","0.1u","C_0402_1005Metric",153.600000,-71.000000,0.000000,top
"C211","1u","C_0402_1005Metric",144.800000,-68.200000,-90.000000,top
"C212","4.7u","C_0402_1005Metric",145.800000,-68.200000,-90.000000,top
"C213","0.1u","C_0402_1005Metric",151.625000,-68.200000,90.000000,top
"C214","4.7u","C_0402_1005Metric",146.800000,-68.200000,-90.000000,top
"C215","0.1u","C_0402_1005Metric",150.600000,-68.200000,-90.000000,top
"C216","4.7u","C_0402_1005Metric",149.600000,-68.200000,-90.000000,top
"J101","Conn_01x12_Female","PinSocket_1x12_P2.54mm_Vertical",132.220000,-67.996000,0.000000,top
"J102","Conn_01x12_Female","PinSocket_1x12_P2.54mm_Vertical",167.780000,-67.996000,0.000000,top
"J103","AudioJack3","PJ-320B-3A",144.000000,-94.250000,90.000000,top
"J104","AudioJack3","PJ-320B-3A",156.000000,-94.250000,90.000000,top
"R201","20R","R_0603_1608Metric",157.000000,-76.000000,-90.000000,top
"R202","20R","R_0603_1608Metric",156.199792,-72.298290,0.000000,top
"R203","2k2","R_0402_1005Metric",144.000000,-72.200000,180.000000,top
"R204","20R","R_0603_1608Metric",156.199792,-70.698290,0.000000,top
"R205","2k2","R_0402_1005Metric",148.600000,-68.200000,-90.000000,top
"R206","20R","R_0603_1608Metric",153.825000,-68.200000,0.000000,top
"U101","AMS1117-1.8","SOT-223-3_TabPin2",150.000000,-82.400000,0.000000,top
"U201","wm8904","wm8904",150.000000,-73.200000,90.000000,top
